host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,amenities,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
within a few hours,100.0,0.92,f,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Heating - split type ductless system"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Outdoor furniture"", ""Blender"", ""Stove"", ""Lockbox"", ""First aid kit"", ""Pets allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Fast wifi \u2013 80 Mbps"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hot water kettle"", ""Bathtub"", ""Dryer"", ""Essentials"", ""  Various  conditioner"", ""30 inch HDTV with Netflix, Roku"", ""Portable heater"", ""Coffee maker: pour-over coffee"", ""Everyone  body soap"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Fire pit"", ""Dishes and silverware"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Bikes"", ""AC - split type ductless system"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen"", ""Ethernet connection""]",150.0,t,f,1.0,1.0,2.0,2.0,2,2.0,3.0,700,3.0,700.0,17,17,17,89,21.0,1,4.95,4.95,4.97,4.99,4.98,4.98,4.89,1,1.72
within an hour,100.0,1.0,t,"['email', 'phone', 'work_email']",t,t,Entire guesthouse,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Exterior security cameras on property"", ""First aid kit"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Kitchenette"", ""Essentials"", ""Smart lock"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Wine glasses"", ""55 inch HDTV with Amazon Prime Video, Disney+, Apple TV, HBO Max, Netflix, Hulu"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Coffee"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Shampoo"", ""Room-darkening shades""]",135.0,t,f,2.0,2.0,2.0,1.0,1,1.0,2.0,730,2.0,1125.0,6,25,53,290,15.6,5,4.97,4.98,4.95,4.97,4.99,4.93,4.94,2,3.92
within an hour,90.0,0.99,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",167.0,t,f,22.0,38.0,4.0,1.5,1,2.0,3.0,1125,5.1,1125.0,30,44,74,340,3.0,1,4.76,4.89,4.82,4.95,4.97,4.97,4.7,3,0.3
within an hour,100.0,0.92,t,"['email', 'phone']",t,f,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Varies body soap"", ""Iron"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo"", ""TV with standard cable"", ""Ethernet connection""]",175.0,t,t,2.0,2.0,2.0,1.0,1,1.0,3.0,3,3.0,3.0,9,39,69,249,6.0,0,4.96,5.0,5.0,5.0,4.98,5.0,4.73,2,0.47
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Stove"", ""Lockbox"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Cleaning products"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Portable air conditioning"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Oven"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",255.0,t,f,2.0,2.0,6.0,2.0,3,3.0,3.0,31,3.0,31.0,11,33,63,335,41.0,2,4.77,4.87,4.9,4.91,4.83,4.89,4.73,1,2.46
within a day,100.0,0.4,f,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Hangers"", ""Private entrance"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Rice maker"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""Exterior security cameras on property"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Long term stays allowed"", ""Bidet"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fireplace guards"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Window AC unit"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Dishwasher"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Gas stove"", ""Board games"", ""Sound system"", ""Dining table"", ""Oven"", ""Iron"", ""Crib"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""55 inch HDTV with standard cable"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",514.0,t,f,1.0,1.0,4.0,1.0,2,2.0,9.4,180,10.2,180.0,0,0,0,101,2.0,0,4.97,4.94,4.99,4.98,5.0,5.0,4.74,1,0.64
within a few hours,100.0,0.95,t,"['email', 'phone']",t,t,Entire guesthouse,Entire home/apt,"[""Children\u2019s dinnerware"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""I provide products that are considered \""clean\"" products body soap"", ""Air conditioning"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Stove"", ""TV with Amazon Prime Video, Roku, Netflix"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""I provide \""clean\"" products conditioner"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Coffee maker: french press, Keurig coffee machine"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Wine glasses"", ""Backyard"", ""Oven"", ""Iron"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Clothing storage: dresser"", ""Shampoo"", ""Kitchen""]",125.0,t,f,1.0,2.0,4.0,1.0,1,2.0,2.0,1125,2.0,1125.0,14,32,62,87,24.0,1,4.94,4.94,4.83,4.98,4.98,4.94,4.88,1,1.76
within an hour,100.0,0.91,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Children\u2019s books and toys for ages 0-2 years old"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Crib - available upon request"", ""Wifi"", ""Indoor fireplace"", ""Drying rack for clothing"", ""Stove"", ""BBQ grill: gas"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Outlet covers"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bed linens"", ""Hair dryer"", ""Barbecue utensils"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Private backyard \u2013 Not fully fenced"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",149.0,t,f,1.0,3.0,4.0,1.0,2,2.0,30.0,1125,30.0,1125.0,29,59,89,303,4.0,1,4.89,4.97,4.92,4.96,4.97,4.97,4.87,1,0.57
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire guest suite,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Free washer \u2013 In building"", ""Books and reading material"", ""Outdoor furniture"", ""Garden view"", ""Wifi"", ""Clothing storage"", ""Stove"", ""Courtyard view"", ""First aid kit"", ""Body soap"", ""Coffee maker"", ""Ethernet connection"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Shared patio or balcony"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Portable air conditioning"", ""Window AC unit"", ""HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Sound system"", ""Dining table"", ""Oven"", ""Iron"", ""Bikes"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Pocket wifi"", ""Smoke alarm"", ""Exercise equipment"", ""Cooking basics"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",200.0,t,f,2.0,2.0,3.0,1.0,1,2.0,2.0,1125,2.0,1125.0,25,52,82,347,42.0,4,4.99,4.99,4.97,4.99,4.99,4.99,4.95,2,2.3
within an hour,100.0,1.0,f,"['email', 'phone']",t,t,Entire place,Entire home/apt,"[""Shampoo"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Microwave"", ""Books and reading material"", ""Outdoor furniture"", ""Garden view"", ""Wifi"", ""Cleaning available during stay"", ""Stove"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Liquid   body soap"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Essentials"", ""HDTV with premium cable, Netflix, Amazon Prime Video"", ""Window AC unit"", ""Indoor fireplace: wood-burning"", ""Self check-in"", ""Freezer"", ""Fire pit"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Single level home"", ""Baking sheet"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Board games"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Varies conditioner"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Game console: Nintendo Wii"", ""Kitchen""]",235.0,t,f,3.0,3.0,3.0,1.0,1,2.0,3.0,120,3.0,1125.0,23,29,59,215,17.0,2,4.91,4.85,4.94,4.99,5.0,4.96,4.85,3,0.86
