host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
0,1,0,1.0,1,1,1,1,1,0,1.0,1.0,0,2.0,2,2.0,3.0,700,3.0,700.0,1,17,17,89,21.0,1
1,1,1,,1,1,0,1,1,0,2.0,2.0,0,1.0,1,1.0,2.0,730,2.0,1125.0,0,25,53,290,15.6,5
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,1.5,1,2.0,3.0,1125,5.1,1125.0,1,44,74,340,3.0,1
1,1,1,1.0,1,0,0,1,1,1,2.0,2.0,0,1.0,1,1.0,3.0,3,3.0,3.0,0,39,69,249,6.0,0
1,1,1,1.0,1,1,1,1,1,0,2.0,2.0,1,2.0,3,3.0,3.0,31,3.0,31.0,0,33,63,335,41.0,2
0,1,0,1.0,1,1,1,1,1,0,1.0,1.0,0,1.0,2,2.0,9.4,180,10.2,180.0,0,0,0,101,2.0,0
0,1,1,1.0,1,1,0,1,1,0,1.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,0,32,62,87,24.0,1
1,1,1,1.0,1,1,1,1,1,0,1.0,3.0,0,1.0,2,2.0,30.0,1125,30.0,1125.0,1,59,89,303,4.0,1
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,52,82,347,42.0,4
1,1,0,1.0,1,1,0,1,1,0,3.0,3.0,0,1.0,1,2.0,3.0,120,3.0,1125.0,1,29,59,215,17.0,2
0,0,0,1.0,1,1,1,1,1,0,2.0,9.0,0,2.0,4,3.0,30.0,180,30.0,180.0,0,38,62,62,0.0,0
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,1,1.6,5,2.3,7.0,120,7.0,120.0,1,53,83,358,0.0,0
0,0,0,1.0,1,0,1,1,1,0,1.0,1.0,1,2.5,4,4.0,30.0,1125,30.0,1125.0,1,60,90,345,2.0,0
1,1,0,1.0,1,1,0,1,1,0,1.0,2.0,0,2.0,2,2.0,30.0,1125,30.0,1125.0,1,57,87,362,0.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,3.0,2.0,1125,2.0,1125.0,1,57,87,355,28.0,0
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,1,2.0,3.0,99,3.0,99.0,0,37,67,67,34.0,2
1,1,1,1.0,1,1,0,1,1,1,4.0,11.0,0,1.0,1,1.0,2.0,35,9.1,1125.0,1,32,32,36,3.0,0
1,1,1,1.0,1,1,1,1,1,1,3.0,3.0,0,1.5,2,3.0,3.0,180,3.0,180.0,0,0,0,50,2.0,0
0,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,2.5,3,3.0,30.0,1125,30.0,1125.0,1,54,84,290,1.0,0
1,1,0,1.0,1,1,1,1,1,1,3.0,3.0,1,2.0,4,2.3,2.0,31,3.3,1125.0,1,26,44,245,25.0,2
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,2.0,3.0,1125,3.0,1125.0,1,27,57,295,26.0,1
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,2.0,2,2.3,3.0,1125,3.0,1125.0,1,33,61,194,7.0,1
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,2,3.0,1.0,1125,1.6,1125.0,1,41,71,334,15.6,2
1,1,1,,1,1,0,1,1,1,1.0,1.0,0,1.0,2,2.0,3.0,1125,3.0,1125.0,0,8,29,282,29.0,3
1,1,0,1.0,1,1,1,1,1,1,1.0,1.0,1,2.0,3,4.0,2.0,1125,2.0,1125.0,1,32,62,152,32.0,1
0,0,0,1.0,1,1,1,1,1,0,2.0,7.0,0,2.0,3,2.0,27.0,60,27.0,1125.0,1,60,90,90,0.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,0,40,61,151,53.0,4
1,1,0,1.0,1,1,0,0,1,0,5.0,5.0,1,2.5,1,2.0,1.0,1125,1.0,600.2,1,59,89,172,37.0,2
1,1,0,1.0,1,1,0,0,1,0,5.0,5.0,0,2.5,1,1.0,1.0,365,1.0,198.7,1,41,71,151,25.0,3
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,2,2.0,30.0,90,30.0,90.0,1,59,89,362,2.0,1
1,1,0,1.0,1,1,0,0,1,1,5.0,5.0,0,2.5,1,4.0,1.0,1125,1.0,610.1,1,60,90,170,48.0,2
1,1,0,1.0,1,1,0,0,1,1,5.0,5.0,0,2.5,1,3.0,1.0,1125,1.0,610.1,1,60,90,170,13.0,2
0,1,1,1.0,1,0,1,1,1,0,3.0,4.0,0,2.0,3,3.0,28.0,1125,28.0,1125.0,1,52,82,262,0.0,0
1,1,0,1.0,1,1,1,1,1,1,1.0,2.0,0,1.0,2,2.0,3.0,1125,3.0,1125.0,1,41,71,154,2.0,0
